Company Name,Website,City,Basket Type,Segment,What They Make,Revenue Band,Decision Maker,DM Title,DM Background,C1 Manufacturer Score,C1 Evidence,C2 India Score,C2 Evidence,C3 Differentiation Score,C3 Evidence,C4 Tech DM Score,C4 Evidence,C5 Tailwind Score,C5 Evidence,C6 Growth Score,C6 Evidence,Federer Score,Score Band,Verdict,Verdict Reasoning,Personalization Hook,Overall Notes,Evidence Sources
Bharat Biotech,https://www.bharatbiotech.com,Hyderabad,Basket A,Specialty Biotech,Vaccines & biologics including Covaxin,500-1000cr,Krishna Ella,CMD,PhD Microbiology IIT Madras,Strong,ISO certified vaccine manufacturing plant Genome Valley,Strong,India-based HQ all manufacturing in Hyderabad,Strong,World-first rotavirus vaccine Rotavac indigenously developed,Strong,Founder PhD scientist leads R&D personally,Strong,WHO prequalification CEPI funding global export tailwind,Strong,New mRNA facility expansion 2024 Genome Valley,28.0,A-Band,PASS,founder-led deep biotech with global export credentials and unique pipeline,Your mRNA facility expansion aligns perfectly with our platform - would love to show how we support science-driven scale-ups,Top-tier Hyderabad biotech. Flagship of Indian vaccine industry.,Bharat Biotech website WHO PQ list news articles
Sai Life Sciences,https://www.sailife.com,Hyderabad,Basket A,CDMO & Custom Synthesis,Drug discovery and development CRO/CDMO,500-1000cr,Krishna Kanumuri,CEO,MBA IIM Ahmedabad + pharma background,Strong,Multi-site manufacturing Hyderabad and Bidar GMP compliant,Strong,India-based all manufacturing ops Hyderabad,Strong,Integrated CRO-to-CDMO model rare in India,Strong,Professional CEO with deep pharma operations background,Strong,Global pharma outsourcing tailwind post-China+1 shift,Strong,TPG private equity investment 2022 major capacity expansion,26.0,A-Band,PASS,integrated cdmo with pe backing and aggressive capacity addition,Your TPG-backed expansion into integrated CDMO is a bold move - our tools support fast-scaling ops teams,PE-backed but professional management strong growth signals,Sai Life Sciences website TPG press release LinkedIn
Divi's Laboratories,https://www.divislabs.com,Hyderabad,Basket A,API Manufacturing,APIs and nutraceutical ingredients,5000cr+,Kiran Divi,MD,BE Chemical Engg family-owned,Strong,Multiple API manufacturing plants Hyderabad Vishakhapatnam,Strong,Fully Indian-owned flagship Hyderabad company,Strong,Global #1 in several API molecules including Naproxen Dextromethorphan,Strong,Family owner with strong chemistry background runs operations,Strong,China+1 API sourcing shift massive tailwind for Indian API makers,Moderate,Established but steady growth brownfield expansion ongoing,22.0,B-Band,PASS,dominant api manufacturer with unassailable molecule-level market share,Your position as global leader in Naproxen is rare - we work with companies defending such moats,Large company but founder-led fits well,Divi's annual report NSE filing news
Cyient DLM,https://www.cyientdlm.com,Hyderabad,Basket C,Electronics Manufacturing,Defence and aerospace electronics manufacturing,500-1000cr,Karthikeyan Natarajan,MD & CEO,Engineering MBA background,Strong,EMS facility Hyderabad AS9100 certified,Strong,India-based listed company Hyderabad,Strong,Integrated design-to-manufacture model for defence aerospace,Strong,Professional CEO with engineering pedigree,Strong,Defence electronics offset policy Make in India tailwind,Strong,Listed 2023 new defence and aerospace wins,24.0,B-Band,PASS,design-led ems company with rare defence certifications and listed pedigree,Your design-to-manufacture model for defence is rare in Indian EMS - would love to discuss how you manage it,Recently listed high growth defence EMS,Cyient DLM website NSE filings
HBL Power Systems,https://www.hbl.in,Hyderabad,Basket C,Industrial Electronics,Batteries and power electronics for defence railways,300-500cr,Ajay Bhardwaj,MD,Engineering background professional,Strong,Battery and electronics manufacturing Hyderabad DRDO approved,Strong,India-based all manufacturing Hyderabad,Strong,Specialised defence-grade batteries very niche,Strong,Professional management with deep industry knowledge,Strong,Defence electrification railway modernisation tailwind,Strong,New defence battery orders 2023 railway expansion,23.0,B-Band,PASS,niche defence battery manufacturer with railway + defence dual revenue streams,Your defence battery credentials for submarines and railways are rare - would love to understand your QA process,Steady growth listed company,HBL website NSE filings defence news
Pennar Industries,https://www.pennarindia.com,Hyderabad,Basket C,Precision Engineering,Precision tubes profiles for aerospace railways,500-1000cr,Aditya Rao,CEO,Engineering MBA background,Strong,Precision engineering plants Hyderabad Chennai ISO certified,Strong,India HQ all manufacturing India,Strong,Specialised precision tubes for aerospace and railways,Strong,Professional CEO with strong ops background,Strong,Aerospace railway infrastructure boom tailwind,Strong,New aerospace supply contracts 2023 capacity expansion,22.0,B-Band,PASS,precision manufacturer with aerospace and railway exposure good growth,Your aerospace-grade precision tubes for ISRO supply chain is a strong differentiator,Listed steady manufacturer,Pennar website NSE filings
VEM Technologies,https://vemtechnologies.com,Hyderabad,Basket C,Defence Manufacturing,Radar and electronic warfare systems,200-300cr,Veera Reddy,Founder,Engineering background,Strong,Defence electronics manufacturing facility Hyderabad DRDO approved,Strong,India-based all ops Hyderabad,Strong,Radar and EW systems for Indian Army Navy,Strong,Founder-engineer involved in product design,Strong,Atmanirbhar defence electronics tailwind,Strong,New DRDO contracts 2023-24 capacity ramp,24.0,B-Band,PASS,founder-led radar and ew company with strong defence credentials,Your radar and EW work for Indian Army is exactly the kind of strategic tech we love to work with,Strong defence focus founder-led,VEM website DRDO news
ECIL,https://www.ecil.co.in,Hyderabad,Basket C,Electronics,Strategic electronics for nuclear space defence,1000cr+,S.K. Bhatt,CMD,Engineering IAS background,Moderate,Electronics manufacturing Hyderabad government owned,Strong,India-based all manufacturing Hyderabad,Strong,Only Indian company making EVMs election systems nuclear systems,Strong,Govt CMD typically bureaucratic background,Moderate,Govt strategic electronics tailwind,Strong,Steady government orders,18.0,C-Band,CONDITIONAL,government psu lacks agility but strategic moat exists,Your EVM and nuclear electronics work is truly unique - would be curious about your R&D roadmap,PSU may not be best fit but unique moat,ECIL website govt press releases
Granules India,https://granulesindia.com,Hyderabad,Basket B,API Pharma,Paracetamol and other bulk APIs,1000-2000cr,Krishna Prasad Chigurupati,CMD,MBA family-owned,Strong,API and formulations manufacturing Hyderabad Virginia USA,Strong,India HQ founder family,Strong,One of world's largest Paracetamol API producers,Strong,Founder-family active in operations,Strong,China+1 API sourcing tailwind,Moderate,Steady growth some margin pressure,20.0,C-Band,CONDITIONAL,strong api manufacturer but commodity-ish product limited differentiation,Your position in Paracetamol API is globally significant - curious if you are moving into specialty APIs,Large commodity API some fit,Granules website NSE filings
Natco Pharma,https://www.natcopharma.co.in,Hyderabad,Basket B,Specialty Pharma,Generic oncology and specialty APIs,1000-2000cr,Rajeev Nannapaneni,MD,MBA family-owned second gen,Strong,Pharma manufacturing Hyderabad Dehradun US plants,Strong,India HQ founder family,Strong,First-to-file US generics oncology focus,Moderate,Second-gen MD with professional approach,Strong,Global oncology generics tailwind,Moderate,Steady growth,20.0,C-Band,CONDITIONAL,specialty pharma with oncology focus decent differentiation but large,Your first-to-file oncology strategy shows real thinking - curious about your API backwards integration,Large company partial fit,Natco website NSE filings
Dr. Reddy's Laboratories,https://www.drreddys.com,Hyderabad,Basket B,Pharma,Generics APIs biosimilars,20000cr+,Erez Israeli,CEO,Professional external CEO,Moderate,Multiple plants globally HQ Hyderabad,Strong,India HQ,Moderate,Largest Indian pharma global presence biosimilars pipeline,Moderate,Professional external CEO less founder-driven,Moderate,Global generics biosimilars tailwind,Moderate,Steady large company,16.0,D-Band,REJECT,too large pe-influenced external ceo not a federer company,Too large and institutionalised for our typical engagement,Large MNC-style company not ideal fit,Dr Reddys annual report NSE
Hetero Drugs,https://heteroworld.com,Hyderabad,Basket B,Generic Pharma,Generics APIs antiretrovirals,1000-2000cr,Vamsikrishna Bandi,CMD,Pharma background family-owned,Moderate,API pharma manufacturing Hyderabad multiple plants,Strong,India HQ family-owned,Moderate,Large generic pharma commodity focus,Moderate,Family CMD pharma background,Moderate,Generics market tailwind moderate,Moderate,Moderate growth,17.0,D-Band,REJECT,generic commodity pharma too large not differentiated enough,Too generic and commodity-focused for our platform,Large commodity pharma,Hetero website news
SMS Pharmaceuticals,https://smspharma.com,Hyderabad,Basket B,API Manufacturing,APIs for generic pharma,200-300cr,B. Murali Krishna,CMD,Chemistry background founder,Strong,API manufacturing plants Hyderabad ISO GMP certified,Strong,India-based all ops Hyderabad,Strong,Specialty API supplier with niche molecules,Strong,Founder-chemist runs operations,Strong,China+1 API tailwind,Strong,Capacity expansion 2023 new molecules added,23.0,B-Band,PASS,founder-led specialty api maker with niche molecules and expansion mode,Your niche API portfolio away from commodity molecules is smart differentiation - curious about your discovery pipeline,Mid-size strong fit,SMS Pharma website news
Aizant Drug Research Solutions,https://www.aizant.com,Hyderabad,Basket A,CRO/CDMO,Bioavailability and drug formulation research,50-100cr,Srinivasa Rao Bandari,Founder CEO,Pharma R&D background,Strong,CRO lab facility Hyderabad GLP certified,Strong,India-based all ops Hyderabad,Moderate,Specialised BA/BE and formulation CRO,Strong,Founder scientist runs day to day,Strong,Global CRO outsourcing post-COVID tailwind,Strong,New client acquisitions 2023 capacity expansion,22.0,B-Band,PASS,founder-scientist cro with specialised formulation capabilities,Your specialisation in BA/BE research is a high-value niche - how are you expanding your CDMO capabilities?,Growing CRO niche fits well,Aizant website LinkedIn
Vimta Labs,https://www.vimta.com,Hyderabad,Basket A,Testing & CRO,Analytical testing clinical trials,100-200cr,Harita Vasireddi,MD,Science background family,Strong,Testing and CRO labs Hyderabad,Strong,India-based all ops Hyderabad,Strong,One of India's oldest NABL accredited pharma testing labs,Strong,Professional family management science background,Strong,Pharma testing regulatory tailwind,Strong,New lab capacity 2022-23 new service lines,23.0,B-Band,PASS,trusted pharma testing cro with decades of regulatory credibility,Your 30-year track record in pharma testing is rare - how are you integrating digital tools into your lab workflows?,Established testing lab strong,Vimta website NABL certificate news
Laurus Labs,https://www.lauruslabs.com,Hyderabad,Basket B,API & CDMO,ARV and oncology APIs CDMO services,2000-5000cr,Satyanarayana Chava,Founder MD,PhD Chemistry,Strong,API CDMO manufacturing plants Hyderabad Vishakhapatnam,Strong,India HQ founder-led,Strong,Massive ARV API global supplier now pivoting to CDMO synthesis,Strong,Founder PhD scientist rare at this scale,Strong,Global ARV supply CDMO outsourcing tailwind,Strong,Aggressive CDMO capacity addition 2022-24,25.0,A-Band,PASS,founder-scientist running large pharma company pivoting to high-value cdmo,Your CDMO pivot from commodity ARV is exactly the kind of strategic ambition we love supporting,Large but founder-led strong fit,Laurus website NSE filings news
Suven Pharmaceuticals,https://www.suven.com,Hyderabad,Basket A,CDMO,CDMO services for innovator pharma,500-1000cr,Venkateswarlu Jasti,Founder CMD,Chemistry PhD background,Strong,CDMO manufacturing Hyderabad GMP certified,Strong,India HQ founder,Strong,Pure-play innovator CDMO rare model in India,Strong,Founder chemist actively involved,Strong,Global CDMO outsourcing China+1 tailwind,Strong,Demerged and focused CDMO pure play 2021,26.0,A-Band,PASS,rare pure-play innovator cdmo with founder-scientist at helm,Your pivot to pure-play innovator CDMO is bold and rare - would love to explore how you manage client complexity,Clean focused CDMO strong fit,Suven website NSE filings
Aptus Value Housing Finance,https://www.aptusindia.com,Hyderabad,Basket D,Financial Services,Housing finance,1000cr+,M. Anandan,Founder MD,Banker founder,Weak,Financial services not a manufacturer,Strong,India-based,Weak,Housing finance not relevant segment,Weak,Finance not tech manufacturing,Moderate,Housing finance tailwind,Moderate,Good growth,10.0,D-Band,REJECT,financial services company not a manufacturer does not fit criteria,Not a manufacturing company - outside our ICP,Not relevant for this assignment,Aptus website
Cyient Ltd,https://www.cyient.com,Hyderabad,Basket D,IT Engineering Services,Engineering services software,2000cr+,Krishna Bodanapu,MD CEO,Engineering MBA IIT,Weak,IT services company not manufacturer,Moderate,India HQ,Weak,IT services not differentiated manufacturing,Weak,IT services CEO,Moderate,Digital engineering tailwind,Moderate,Steady IT growth,10.0,D-Band,REJECT,it services company not a manufacturer outside icp,IT services don't fit our manufacturing ICP,IT company not relevant,Cyient website
Tata Advanced Systems,https://www.tataadvancedsystems.com,Hyderabad,Basket C,Aerospace Defence,Aerospace structures and defence systems,500-1000cr,Sukaran Singh,MD CEO,Professional manager Tata group,Moderate,Manufacturing facility Hyderabad Nagpur aerospace structures,Strong,India-based Tata group,Strong,Tata group aerospace defence integration,Moderate,Professional Tata manager not founder,Moderate,Defence aerospace Make in India tailwind,Strong,New Boeing Airbus supply contracts 2023,20.0,C-Band,CONDITIONAL,tata group company strong aerospace credentials but professional manager not founder,Your Airbus and Boeing supply work from India is landmark - how independent is the Hyderabad team?,Tata subsidiary partial fit,TASL website Tata news
BDR Pharmaceuticals,https://www.bdrpharma.com,Hyderabad,Basket B,Specialty Pharma,Oncology injectables specialty formulations,200-300cr,Dhaval Shah,CMD,Pharma background founder,Strong,Pharma manufacturing plant near Hyderabad,Strong,India HQ founder,Strong,Oncology injectable specialist niche,Strong,Founder pharma background,Strong,Oncology injectables high growth tailwind,Strong,New oncology plant expansion 2023,24.0,B-Band,PASS,founder-led oncology injectable specialist growing aggressively,Your focus on oncology injectables in a sea of generic tablets is smart - how are you expanding your pipeline?,Niche oncology pharma good fit,BDR Pharma website news
Sutures India,https://www.suturesindia.com,Hyderabad,Basket A,Medical Devices,Surgical sutures and wound care products,100-200cr,N.V. Ramana,Founder,Medical device background,Strong,Medical device manufacturing Hyderabad ISO CE certified,Strong,India-based all ops,Strong,Specialty surgical sutures with global export,Strong,Founder-led device company,Strong,Medical device Make in India PLI tailwind,Strong,New export contracts 2023 capacity expansion,24.0,B-Band,PASS,founder-led medical device maker with global export credentials,Your surgical sutures reaching global hospitals from Hyderabad is a strong story - how is PLI supporting your expansion?,Medical devices good niche,Sutures India website
Innova Captab,https://www.innovacaptab.com,Hyderabad,Basket B,Contract Pharma,Contract manufacturing tablets capsules,200-300cr,Vinay Loona,Founder CMD,Pharma manufacturing background,Strong,CDMO pharma plant Hyderabad GMP,Strong,India HQ founder,Strong,Specialised CDMO for domestic and export pharma,Strong,Founder with manufacturing expertise,Moderate,Domestic pharma outsourcing tailwind,Strong,New capacity expansion 2023 new client wins,22.0,B-Band,PASS,founder-led pharma cdmo with capacity expansion,Your focus on CDMO for regulated markets is smart - are you targeting any US/EU clients?,Pharma CDMO decent fit,Innova Captab website
Vijaya Diagnostic Centre,https://www.vijayadiagnostic.com,Hyderabad,Basket D,Diagnostics,Diagnostic imaging and lab services,200-300cr,S. Surendranath Reddy,Founder,Radiology background,Weak,Healthcare services not manufacturer,Strong,India HQ Hyderabad,Weak,Services not manufacturing,Weak,Medical services background,Moderate,Healthcare diagnostics tailwind,Moderate,Moderate growth listed 2021,10.0,D-Band,REJECT,diagnostics service company not a manufacturer outside icp,Healthcare services not a manufacturer - outside ICP,Not relevant,Vijaya Diagnostic website
Tresara Health,https://www.tresarahealth.com,Hyderabad,Basket A,Specialty Pharma,Oncology drugs and biosimilars,100-200cr,Srikant Sreenivas,CEO,Pharma background,Strong,Specialty pharma manufacturing Hyderabad,Strong,India-based,Strong,Oncology and biosimilar focus niche,Strong,Professional CEO pharma background,Strong,Biosimilar oncology global tailwind,Strong,New biosimilar launches 2023,23.0,B-Band,PASS,growing oncology biosimilar company with strong pipeline,Your biosimilar oncology pipeline is entering a massive global market - curious about your CMO partnerships,Oncology biosimilar niche,Tresara website news
