Company Name,Website,City,Basket Type,Segment,What They Make,Revenue Band,Decision Maker,DM Title,DM Background,C1 Manufacturer Score,C1 Evidence,C2 India Score,C2 Evidence,C3 Differentiation Score,C3 Evidence,C4 Tech DM Score,C4 Evidence,C5 Tailwind Score,C5 Evidence,C6 Growth Score,C6 Evidence,Federer Score,Score Band,Verdict,Verdict Reasoning,Personalization Hook,Overall Notes,Evidence Sources
Bharat Biotech,https://www.bharatbiotech.com,Hyderabad,Basket A,Specialty Biotech,Vaccines & biologics including Covaxin,500-1000Cr,Krishna Ella,CMD,PhD Microbiology IIT Madras,Strong,ISO certified vaccine manufacturing plant Genome Valley,Strong,India-based HQ all manufacturing in Hyderabad,Strong,World-first rotavirus vaccine Rotavac indigenously developed,Strong,Founder PhD scientist leads R&D personally,Strong,WHO prequalification CEPI funding global export tailwind,Strong,New mRNA facility expansion 2024 Genome Valley,28,A-Band,PASS,Founder-led deep biotech with global export credentials and unique pipeline,Your mRNA facility expansion aligns perfectly with our platform - would love to show how we support science-driven scale-ups,Top-tier Hyderabad biotech. Flagship of Indian vaccine industry.,Bharat Biotech website WHO PQ list news articles
Biological E,https://www.biologicale.com,Hyderabad,Basket B,Vaccines & Biologics,Vaccines biologics and biosimilars,300-500Cr,Mahima Datla,MD,MBA Harvard family-owned 3rd gen,Strong,GMP certified biologics manufacturing Hyderabad,Strong,Fully Indian-owned all ops in Hyderabad,Strong,One of few Indian companies with Hep B pentavalent vaccine,Strong,Science-trained management with global partnerships,Strong,GAVI supply deal UNICEF procurement tailwind,Strong,Expanded fill-finish capacity 2023 new product launches,26,A-Band,PASS,Deep moat in global vaccine supply chain with GAVI credentials,Your GAVI partnership and new fill-finish line shows you are scaling - our platform helps ops teams match that pace,Strong family-owned professional management,Biological E website GAVI news LinkedIn
Aurigene Oncology,https://www.aurigene.com,Hyderabad,Basket A,Drug Discovery & Oncology,Small molecule oncology drugs discovery,200-500Cr,Dr. Murali Ramachandra,CEO,PhD Chemistry IISc,Strong,Dedicated discovery and synthesis labs Hyderabad,Strong,India HQ all R&D in Hyderabad,Strong,Proprietary oncology pipeline out-licensing to global pharma,Strong,Founder-level scientist leads discovery,Strong,Global oncology drug market tailwind partnered with AstraZeneca,Strong,New partnership deals 2023 pipeline expansion,25,A-Band,PASS,Rare Indian drug discovery company with global big pharma partnerships,Your AstraZeneca collaboration puts you in rare company - we work with similar science-first orgs,Discovery-stage biotech high value target,Aurigene website AstraZeneca press release LinkedIn
Sai Life Sciences,https://www.sailife.com,Hyderabad,Basket A,CDMO & Custom Synthesis,Drug discovery and development CRO/CDMO,500-1000Cr,Krishna Kanumuri,CEO,MBA IIM Ahmedabad + pharma background,Strong,Multi-site manufacturing Hyderabad and Bidar GMP compliant,Strong,India-based all manufacturing ops Hyderabad,Strong,Integrated CRO-to-CDMO model rare in India,Strong,Professional CEO with deep pharma operations background,Strong,Global pharma outsourcing tailwind post-China+1 shift,Strong,TPG private equity investment 2022 major capacity expansion,26,A-Band,PASS,Integrated CDMO with PE backing and aggressive capacity addition,Your TPG-backed expansion into integrated CDMO is a bold move - our tools support fast-scaling ops teams,PE-backed but professional management strong growth signals,Sai Life Sciences website TPG press release LinkedIn
Divi's Laboratories,https://www.divislabs.com,Hyderabad,Basket A,API Manufacturing,APIs and nutraceutical ingredients,5000Cr+,Kiran Divi,MD,BE Chemical Engg family-owned,Strong,Multiple API manufacturing plants Hyderabad Vishakhapatnam,Strong,Fully Indian-owned flagship Hyderabad company,Strong,Global #1 in several API molecules including Naproxen Dextromethorphan,Strong,Family owner with strong chemistry background runs operations,Strong,China+1 API sourcing shift massive tailwind for Indian API makers,Moderate,Established but steady growth brownfield expansion ongoing,22,B-Band,PASS,Dominant API manufacturer with unassailable molecule-level market share,Your position as global leader in Naproxen is rare - we work with companies defending such moats,Large company but founder-led fits well,Divi's annual report NSE filing news
MTAR Technologies,https://mtar.in,Hyderabad,Basket C,Precision Engineering,Precision components for nuclear space defence,300-500Cr,Parvat Srinivas Reddy,CMD,Engineering background founder-led,Strong,Precision machining facility Hyderabad ISO AS9100 certified,Strong,India-based all manufacturing Hyderabad,Strong,Only private Indian company supplying to ISRO nuclear and DRDO,Strong,Founder-engineer personally oversees quality,Strong,Space privatisation Make in India defence tailwind,Strong,Listed NSE 2021 new ISRO orders 2023-24,27,A-Band,PASS,Irreplaceable supplier to India's strategic sectors ISRO DRDO nuclear,Your ISRO and nuclear supply credentials are irreplaceable - curious how you manage such precision at scale,Rare precision engineering company in strategic sectors,MTAR website NSE filings ISRO press releases
Astra Microwave Products,https://www.astramwp.com,Hyderabad,Basket C,Defence Electronics,Microwave and RF sub-systems for defence,300-500Cr,B. Malla Reddy,CMD,Electronics engineering background,Strong,RF microwave manufacturing facility Hyderabad DRDO approved,Strong,India-based all ops Hyderabad,Strong,Specialised RF/microwave supplier very few Indian private competitors,Strong,Technical founder directly involved in product decisions,Strong,Atmanirbhar Bharat defence electronics massive tailwind,Strong,New defence orders 2023 radar system contracts,25,A-Band,PASS,Niche defence electronics supplier with deep DRDO and Navy credentials,Your RF subsystems for Navy radars put you in a category of one - we love working with such focused companies,Listed company strong defence order book,Astra Microwave website NSE annual report
Cyient DLM,https://www.cyientdlm.com,Hyderabad,Basket C,Electronics Manufacturing,Defence and aerospace electronics manufacturing,500-1000Cr,Karthikeyan Natarajan,MD & CEO,Engineering MBA background,Strong,EMS facility Hyderabad AS9100 certified,Strong,India-based listed company Hyderabad,Strong,Integrated design-to-manufacture model for defence aerospace,Strong,Professional CEO with engineering pedigree,Strong,Defence electronics offset policy Make in India tailwind,Strong,Listed 2023 new defence and aerospace wins,24,B-Band,PASS,Design-led EMS company with rare defence certifications and listed pedigree,Your design-to-manufacture model for defence is rare in Indian EMS - would love to discuss how you manage it,Recently listed high growth defence EMS,Cyient DLM website NSE filings
Ananth Technologies,https://www.ananthtech.com,Hyderabad,Basket C,Aerospace Electronics,Avionics and satellite electronics,200-500Cr,Dr. Subba Rao,Founder CMD,PhD Aerospace Engineering,Strong,Avionics manufacturing facility Hyderabad ISRO approved vendor,Strong,India-based all manufacturing Hyderabad,Strong,Private Indian company building satellite subsystems for ISRO,Strong,Founder PhD aerospace engineer rare profile,Strong,Space sector privatisation IN-SPACe tailwind,Strong,Multiple new ISRO satellite contracts 2023-24,26,A-Band,PASS,Founder PhD scientist building satellite systems very rare Indian private company,Your work building satellite subsystems as a private company is historic - we want to understand how you operate,One of India's most credible private space companies,Ananth Technologies website ISRO press releases news
Skyroot Aerospace,https://www.skyroot.in,Hyderabad,Basket C,Space Launch,Private rocket launch company Vikram rocket,100-200Cr,Pawan Kumar Chandana,CEO,IIT Kharagpur aerospace engineer,Strong,Rocket assembly and testing facility Hyderabad,Strong,India-based all R&D and manufacturing Hyderabad,Strong,First Indian private company to launch orbital rocket,Strong,IIT engineer founder hands-on technical leader,Strong,IN-SPACe private space launch tailwind massive,Strong,Successfully launched Vikram-S 2022 preparing orbital launch 2024,28,A-Band,PASS,Historic first mover in Indian private launch market with orbital capability,You made history with Vikram-S - as you scale toward orbital we'd love to support your systems,Highest growth potential in Hyderabad ecosystem,Skyroot website IN-SPACe news TechCrunch coverage
