Company Name,Website,City,Basket Type,Segment,What They Make,Revenue Band,Decision Maker,DM Title,DM Background,C1 Manufacturer Score,C1 Evidence,C2 India Score,C2 Evidence,C3 Differentiation Score,C3 Evidence,C4 Tech DM Score,C4 Evidence,C5 Tailwind Score,C5 Evidence,C6 Growth Score,C6 Evidence,Federer Score,Score Band,Verdict,Verdict Reasoning,Personalization Hook,Overall Notes,Evidence Sources
Skyroot Aerospace,https://www.skyroot.in,Hyderabad,Basket C,Space Launch,Private rocket launch company Vikram rocket,100-200cr,Pawan Kumar Chandana,CEO,IIT Kharagpur aerospace engineer,Strong,Rocket assembly and testing facility Hyderabad,Strong,India-based all R&D and manufacturing Hyderabad,Strong,First Indian private company to launch orbital rocket,Strong,IIT engineer founder hands-on technical leader,Strong,IN-SPACe private space launch tailwind massive,Strong,Successfully launched Vikram-S 2022 preparing orbital launch 2024,28.0,A-Band,PASS,historic first mover in indian private launch market with orbital capability,You made history with Vikram-S - as you scale toward orbital we'd love to support your systems,Highest growth potential in Hyderabad ecosystem,Skyroot website IN-SPACe news TechCrunch coverage
Agnikul Cosmos,https://www.agnikul.in,Hyderabad,Basket C,Space Launch,3D-printed rocket engines and launch vehicles,10-50cr,Srinath Ravichandran,Founder CEO,Aerospace IIT Madras background,Strong,Rocket engine manufacturing Hyderabad Chennai,Strong,India-based startup,Strong,World's first 3D-printed engine rocket flight,Strong,IIT founder aerospace engineer,Strong,Space private launch IN-SPACe tailwind,Strong,First flight 2024 new partnerships,28.0,A-Band,PASS,world-historic 3d-printed rocket company from india unique global position,You just made history with a 3D-printed rocket flight - the world is watching and we want to support that scale,Most innovative deep-tech startup,Agnikul website news TechCrunch
MTAR Technologies,https://mtar.in,Hyderabad,Basket C,Precision Engineering,Precision components for nuclear space defence,300-500cr,Parvat Srinivas Reddy,CMD,Engineering background founder-led,Strong,Precision machining facility Hyderabad ISO AS9100 certified,Strong,India-based all manufacturing Hyderabad,Strong,Only private Indian company supplying to ISRO nuclear and DRDO,Strong,Founder-engineer personally oversees quality,Strong,Space privatisation Make in India defence tailwind,Strong,Listed NSE 2021 new ISRO orders 2023-24,27.0,A-Band,PASS,irreplaceable supplier to india's strategic sectors isro drdo nuclear,Your ISRO and nuclear supply credentials are irreplaceable - curious how you manage such precision at scale,Rare precision engineering company in strategic sectors,MTAR website NSE filings ISRO press releases
Synergia Life Sciences,https://www.synergialife.com,Hyderabad,Basket A,CDMO,Peptide and oligonucleotide CDMO,50-100cr,Ravi Madduri,Founder CEO,PhD Chemistry background,Strong,Peptide synthesis CDMO Hyderabad GMP,Strong,India-based,Strong,Peptide oligonucleotide CDMO very high value,Strong,Founder PhD chemist,Strong,Peptide drug outsourcing GLP-1 tailwind massive,Strong,New GLP-1 peptide API projects 2023-24,27.0,A-Band,PASS,founder phd chemist building peptide cdmo at perfect timing with glp-1 boom,Your peptide CDMO positioning with GLP-1 boom is extremely timely - this could be a decade-defining business,Peptide CDMO rare high-value fit,Synergia website LinkedIn
Dhruva Space,https://www.dhruvaspace.com,Hyderabad,Basket C,Space Technology,Satellite and space technology,10-50cr,Sanjay Nekkanti,Founder CEO,Aerospace engineering background,Strong,Satellite assembly testing Hyderabad,Strong,India-based startup IN-SPACe approved,Strong,Private satellite maker very rare India,Strong,Founder aerospace engineer,Strong,Space privatisation IN-SPACe massive tailwind,Strong,First private Indian satellite launched 2022,26.0,A-Band,PASS,pioneer private satellite maker with first launch under belt rare in india,Your first privately-built Indian satellite is historic - how are you thinking about the next generation constellation?,Space startup rare strong fit,Dhruva Space website IN-SPACe news
Biological E,https://www.biologicale.com,Hyderabad,Basket B,Vaccines & Biologics,Vaccines biologics and biosimilars,300-500cr,Mahima Datla,MD,MBA Harvard family-owned 3rd gen,Strong,GMP certified biologics manufacturing Hyderabad,Strong,Fully Indian-owned all ops in Hyderabad,Strong,One of few Indian companies with Hep B pentavalent vaccine,Strong,Science-trained management with global partnerships,Strong,GAVI supply deal UNICEF procurement tailwind,Strong,Expanded fill-finish capacity 2023 new product launches,26.0,A-Band,PASS,deep moat in global vaccine supply chain with gavi credentials,Your GAVI partnership and new fill-finish line shows you are scaling - our platform helps ops teams match that pace,Strong family-owned professional management,Biological E website GAVI news LinkedIn
Ananth Technologies,https://www.ananthtech.com,Hyderabad,Basket C,Aerospace Electronics,Avionics and satellite electronics,200-500cr,Dr. Subba Rao,Founder CMD,PhD Aerospace Engineering,Strong,Avionics manufacturing facility Hyderabad ISRO approved vendor,Strong,India-based all manufacturing Hyderabad,Strong,Private Indian company building satellite subsystems for ISRO,Strong,Founder PhD aerospace engineer rare profile,Strong,Space sector privatisation IN-SPACe tailwind,Strong,Multiple new ISRO satellite contracts 2023-24,26.0,A-Band,PASS,founder phd scientist building satellite systems very rare indian private company,Your work building satellite subsystems as a private company is historic - we want to understand how you operate,One of India's most credible private space companies,Ananth Technologies website ISRO press releases news
Astra Microwave Products,https://www.astramwp.com,Hyderabad,Basket C,Defence Electronics,Microwave and RF sub-systems for defence,300-500cr,B. Malla Reddy,CMD,Electronics engineering background,Strong,RF microwave manufacturing facility Hyderabad DRDO approved,Strong,India-based all ops Hyderabad,Strong,Specialised RF/microwave supplier very few Indian private competitors,Strong,Technical founder directly involved in product decisions,Strong,Atmanirbhar Bharat defence electronics massive tailwind,Strong,New defence orders 2023 radar system contracts,25.0,A-Band,PASS,niche defence electronics supplier with deep drdo and navy credentials,Your RF subsystems for Navy radars put you in a category of one - we love working with such focused companies,Listed company strong defence order book,Astra Microwave website NSE annual report
Zumutor Biologics,https://www.zumutor.com,Hyderabad,Basket A,Biotech,Antibody therapeutics,10-50cr,Susanta Bhattacharjee,Founder,PhD Immunology,Strong,Antibody discovery lab Hyderabad,Strong,India-based,Strong,Proprietary antibody discovery platform rare,Strong,Founder PhD immunologist,Strong,Antibody therapeutics global tailwind,Strong,New programs licensed 2023,25.0,A-Band,PASS,founder phd scientist building proprietary antibody platform very rare in india,Your proprietary antibody platform is rare in India - would love to understand your discovery-to-licensing roadmap,Very rare biotech strong fit,Zumutor website news
Srinivasa Cysteine,https://www.srinivasacysteine.com,Hyderabad,Basket A,Specialty Chemicals,L-Cysteine amino acid specialty fermentation,100-200cr,Srinivasa Rao,Founder,Chemistry background,Strong,Fermentation-based amino acid plant Hyderabad,Strong,India-based all ops,Strong,One of very few global L-Cysteine producers using fermentation,Strong,Founder chemist runs operation,Strong,Specialty amino acid global demand tailwind,Strong,Export growth Europe Japan 2023,25.0,A-Band,PASS,founder-led fermentation company making rare specialty amino acid with global export,Your fermentation L-Cysteine production for export to Japan and Europe is a remarkable moat,Rare specialty chemical maker strong fit,Srinivasa Cysteine website export news
