Company Name,Website,City,Basket Type,Segment,What They Make,Revenue Band,Decision Maker,DM Title,DM Background,C1 Manufacturer Score,C1 Evidence,C2 India Score,C2 Evidence,C3 Differentiation Score,C3 Evidence,C4 Tech DM Score,C4 Evidence,C5 Tailwind Score,C5 Evidence,C6 Growth Score,C6 Evidence,Federer Score,Score Band,Verdict,Verdict Reasoning,Personalization Hook,Overall Notes,Evidence Sources
Biological E,https://www.biologicale.com,Hyderabad,Basket B,Vaccines & Biologics,Vaccines biologics and biosimilars,300-500cr,Mahima Datla,MD,MBA Harvard family-owned 3rd gen,Strong,GMP certified biologics manufacturing Hyderabad,Strong,Fully Indian-owned all ops in Hyderabad,Strong,One of few Indian companies with Hep B pentavalent vaccine,Strong,Science-trained management with global partnerships,Strong,GAVI supply deal UNICEF procurement tailwind,Strong,Expanded fill-finish capacity 2023 new product launches,26.0,A-Band,PASS,deep moat in global vaccine supply chain with gavi credentials,Your GAVI partnership and new fill-finish line shows you are scaling - our platform helps ops teams match that pace,Strong family-owned professional management,Biological E website GAVI news LinkedIn
Aurigene Oncology,https://www.aurigene.com,Hyderabad,Basket A,Drug Discovery & Oncology,Small molecule oncology drugs discovery,200-500cr,Dr. Murali Ramachandra,CEO,PhD Chemistry IISc,Strong,Dedicated discovery and synthesis labs Hyderabad,Strong,India HQ all R&D in Hyderabad,Strong,Proprietary oncology pipeline out-licensing to global pharma,Strong,Founder-level scientist leads discovery,Strong,Global oncology drug market tailwind partnered with AstraZeneca,Strong,New partnership deals 2023 pipeline expansion,25.0,A-Band,PASS,rare indian drug discovery company with global big pharma partnerships,Your AstraZeneca collaboration puts you in rare company - we work with similar science-first orgs,Discovery-stage biotech high value target,Aurigene website AstraZeneca press release LinkedIn
MTAR Technologies,https://mtar.in,Hyderabad,Basket C,Precision Engineering,Precision components for nuclear space defence,300-500cr,Parvat Srinivas Reddy,CMD,Engineering background founder-led,Strong,Precision machining facility Hyderabad ISO AS9100 certified,Strong,India-based all manufacturing Hyderabad,Strong,Only private Indian company supplying to ISRO nuclear and DRDO,Strong,Founder-engineer personally oversees quality,Strong,Space privatisation Make in India defence tailwind,Strong,Listed NSE 2021 new ISRO orders 2023-24,27.0,A-Band,PASS,irreplaceable supplier to india's strategic sectors isro drdo nuclear,Your ISRO and nuclear supply credentials are irreplaceable - curious how you manage such precision at scale,Rare precision engineering company in strategic sectors,MTAR website NSE filings ISRO press releases
Astra Microwave Products,https://www.astramwp.com,Hyderabad,Basket C,Defence Electronics,Microwave and RF sub-systems for defence,300-500cr,B. Malla Reddy,CMD,Electronics engineering background,Strong,RF microwave manufacturing facility Hyderabad DRDO approved,Strong,India-based all ops Hyderabad,Strong,Specialised RF/microwave supplier very few Indian private competitors,Strong,Technical founder directly involved in product decisions,Strong,Atmanirbhar Bharat defence electronics massive tailwind,Strong,New defence orders 2023 radar system contracts,25.0,A-Band,PASS,niche defence electronics supplier with deep drdo and navy credentials,Your RF subsystems for Navy radars put you in a category of one - we love working with such focused companies,Listed company strong defence order book,Astra Microwave website NSE annual report
Ananth Technologies,https://www.ananthtech.com,Hyderabad,Basket C,Aerospace Electronics,Avionics and satellite electronics,200-500cr,Dr. Subba Rao,Founder CMD,PhD Aerospace Engineering,Strong,Avionics manufacturing facility Hyderabad ISRO approved vendor,Strong,India-based all manufacturing Hyderabad,Strong,Private Indian company building satellite subsystems for ISRO,Strong,Founder PhD aerospace engineer rare profile,Strong,Space sector privatisation IN-SPACe tailwind,Strong,Multiple new ISRO satellite contracts 2023-24,26.0,A-Band,PASS,founder phd scientist building satellite systems very rare indian private company,Your work building satellite subsystems as a private company is historic - we want to understand how you operate,One of India's most credible private space companies,Ananth Technologies website ISRO press releases news
Skyroot Aerospace,https://www.skyroot.in,Hyderabad,Basket C,Space Launch,Private rocket launch company Vikram rocket,100-200cr,Pawan Kumar Chandana,CEO,IIT Kharagpur aerospace engineer,Strong,Rocket assembly and testing facility Hyderabad,Strong,India-based all R&D and manufacturing Hyderabad,Strong,First Indian private company to launch orbital rocket,Strong,IIT engineer founder hands-on technical leader,Strong,IN-SPACe private space launch tailwind massive,Strong,Successfully launched Vikram-S 2022 preparing orbital launch 2024,28.0,A-Band,PASS,historic first mover in indian private launch market with orbital capability,You made history with Vikram-S - as you scale toward orbital we'd love to support your systems,Highest growth potential in Hyderabad ecosystem,Skyroot website IN-SPACe news TechCrunch coverage
HBL Power Systems,https://www.hbl.in,Hyderabad,Basket C,Industrial Electronics,Batteries and power electronics for defence railways,300-500cr,Ajay Bhardwaj,MD,Engineering background professional,Strong,Battery and electronics manufacturing Hyderabad DRDO approved,Strong,India-based all manufacturing Hyderabad,Strong,Specialised defence-grade batteries very niche,Strong,Professional management with deep industry knowledge,Strong,Defence electrification railway modernisation tailwind,Strong,New defence battery orders 2023 railway expansion,23.0,B-Band,PASS,niche defence battery manufacturer with railway + defence dual revenue streams,Your defence battery credentials for submarines and railways are rare - would love to understand your QA process,Steady growth listed company,HBL website NSE filings defence news
VEM Technologies,https://vemtechnologies.com,Hyderabad,Basket C,Defence Manufacturing,Radar and electronic warfare systems,200-300cr,Veera Reddy,Founder,Engineering background,Strong,Defence electronics manufacturing facility Hyderabad DRDO approved,Strong,India-based all ops Hyderabad,Strong,Radar and EW systems for Indian Army Navy,Strong,Founder-engineer involved in product design,Strong,Atmanirbhar defence electronics tailwind,Strong,New DRDO contracts 2023-24 capacity ramp,24.0,B-Band,PASS,founder-led radar and ew company with strong defence credentials,Your radar and EW work for Indian Army is exactly the kind of strategic tech we love to work with,Strong defence focus founder-led,VEM website DRDO news
Premier Explosives,https://www.pelgel.com,Hyderabad,Basket C,Defence Explosives,Propellants and explosives for defence,200-300cr,T.V. Chowdary,CMD,Chemical engineering background,Strong,Explosives manufacturing near Hyderabad DRDO approved,Strong,India-based all ops near Hyderabad,Strong,One of very few private licensed explosives makers in India,Strong,Technical founder with chemistry background,Strong,Atmanirbhar defence ammunition tailwind,Strong,New DRDO propellant orders 2023,24.0,B-Band,PASS,rare private explosives manufacturer with drdo approval unique moat,Your position as one of very few licensed private explosives makers is truly rare - strategic moat,Rare niche player strong defence tailwind,Premier Explosives website NSE filings
SMS Pharmaceuticals,https://smspharma.com,Hyderabad,Basket B,API Manufacturing,APIs for generic pharma,200-300cr,B. Murali Krishna,CMD,Chemistry background founder,Strong,API manufacturing plants Hyderabad ISO GMP certified,Strong,India-based all ops Hyderabad,Strong,Specialty API supplier with niche molecules,Strong,Founder-chemist runs operations,Strong,China+1 API tailwind,Strong,Capacity expansion 2023 new molecules added,23.0,B-Band,PASS,founder-led specialty api maker with niche molecules and expansion mode,Your niche API portfolio away from commodity molecules is smart differentiation - curious about your discovery pipeline,Mid-size strong fit,SMS Pharma website news
Aizant Drug Research Solutions,https://www.aizant.com,Hyderabad,Basket A,CRO/CDMO,Bioavailability and drug formulation research,50-100cr,Srinivasa Rao Bandari,Founder CEO,Pharma R&D background,Strong,CRO lab facility Hyderabad GLP certified,Strong,India-based all ops Hyderabad,Moderate,Specialised BA/BE and formulation CRO,Strong,Founder scientist runs day to day,Strong,Global CRO outsourcing post-COVID tailwind,Strong,New client acquisitions 2023 capacity expansion,22.0,B-Band,PASS,founder-scientist cro with specialised formulation capabilities,Your specialisation in BA/BE research is a high-value niche - how are you expanding your CDMO capabilities?,Growing CRO niche fits well,Aizant website LinkedIn
Vimta Labs,https://www.vimta.com,Hyderabad,Basket A,Testing & CRO,Analytical testing clinical trials,100-200cr,Harita Vasireddi,MD,Science background family,Strong,Testing and CRO labs Hyderabad,Strong,India-based all ops Hyderabad,Strong,One of India's oldest NABL accredited pharma testing labs,Strong,Professional family management science background,Strong,Pharma testing regulatory tailwind,Strong,New lab capacity 2022-23 new service lines,23.0,B-Band,PASS,trusted pharma testing cro with decades of regulatory credibility,Your 30-year track record in pharma testing is rare - how are you integrating digital tools into your lab workflows?,Established testing lab strong,Vimta website NABL certificate news
BDR Pharmaceuticals,https://www.bdrpharma.com,Hyderabad,Basket B,Specialty Pharma,Oncology injectables specialty formulations,200-300cr,Dhaval Shah,CMD,Pharma background founder,Strong,Pharma manufacturing plant near Hyderabad,Strong,India HQ founder,Strong,Oncology injectable specialist niche,Strong,Founder pharma background,Strong,Oncology injectables high growth tailwind,Strong,New oncology plant expansion 2023,24.0,B-Band,PASS,founder-led oncology injectable specialist growing aggressively,Your focus on oncology injectables in a sea of generic tablets is smart - how are you expanding your pipeline?,Niche oncology pharma good fit,BDR Pharma website news
Sutures India,https://www.suturesindia.com,Hyderabad,Basket A,Medical Devices,Surgical sutures and wound care products,100-200cr,N.V. Ramana,Founder,Medical device background,Strong,Medical device manufacturing Hyderabad ISO CE certified,Strong,India-based all ops,Strong,Specialty surgical sutures with global export,Strong,Founder-led device company,Strong,Medical device Make in India PLI tailwind,Strong,New export contracts 2023 capacity expansion,24.0,B-Band,PASS,founder-led medical device maker with global export credentials,Your surgical sutures reaching global hospitals from Hyderabad is a strong story - how is PLI supporting your expansion?,Medical devices good niche,Sutures India website
